timestamp,Usage(kWh)_1,Generation(kVarh)_1,Usage(kVarh)_1
2022-09-25 14:00:00+00:00,8.8697,4.4565,0.0
2022-09-25 14:15:00+00:00,8.884,4.5093,0.0
2022-09-25 14:30:00+00:00,8.9639,4.5434,0.0
2022-09-25 14:45:00+00:00,9.0973,4.3856,0.0
2022-09-25 15:00:00+00:00,9.3259,4.5678,0.0
2022-09-25 15:15:00+00:00,9.5328,4.5227,0.0
2022-09-25 15:30:00+00:00,9.1535,4.4855,0.0
2022-09-25 15:45:00+00:00,9.0455,4.5022,0.0
2022-09-25 16:00:00+00:00,8.8566,4.5881,0.0
2022-09-25 16:15:00+00:00,9.078,4.5863,0.0
2022-09-25 16:30:00+00:00,9.1865,4.5408,0.0
2022-09-25 16:45:00+00:00,9.1254,4.5978,0.0
2022-09-25 17:00:00+00:00,9.1169,4.5994,0.0
2022-09-25 17:15:00+00:00,9.2029,4.5688,0.0
2022-09-25 17:30:00+00:00,9.3602,4.5878,0.0
2022-09-25 17:45:00+00:00,9.165,4.5772,0.0
2022-09-25 18:00:00+00:00,9.0703,4.6246,0.0
2022-09-25 18:15:00+00:00,9.2141,4.5632,0.0
2022-09-25 18:30:00+00:00,9.2677,4.6367,0.0
2022-09-25 18:45:00+00:00,9.4976,4.5118,0.0
2022-09-25 19:00:00+00:00,9.216,4.6524,0.0
2022-09-25 19:15:00+00:00,9.3889,4.6022,0.0
2022-09-25 19:30:00+00:00,9.2792,4.6725,0.0
2022-09-25 19:45:00+00:00,9.3619,4.5665,0.0
2022-09-25 20:00:00+00:00,9.3077,4.6855,0.0
2022-09-25 20:15:00+00:00,9.4375,4.5991,0.0
2022-09-25 20:30:00+00:00,9.3643,4.695,0.0
2022-09-25 20:45:00+00:00,9.6853,4.6027,0.0
2022-09-25 21:00:00+00:00,10.004,4.7228,0.0
2022-09-25 21:15:00+00:00,10.4667,4.8226,0.0
2022-09-25 21:30:00+00:00,10.7053,4.6471,0.0
2022-09-25 21:45:00+00:00,12.2218,4.6846,0.0
2022-09-25 22:00:00+00:00,13.5953,4.5993,0.0
2022-09-25 22:15:00+00:00,14.3202,4.9791,0.0
2022-09-25 22:30:00+00:00,14.3847,5.0225,0.0
2022-09-25 22:45:00+00:00,14.3667,4.9923,0.0
2022-09-25 23:00:00+00:00,14.8353,5.1991,0.0
2022-09-25 23:15:00+00:00,16.0991,5.1445,0.0
2022-09-25 23:30:00+00:00,16.5182,5.4233,0.0
2022-09-25 23:45:00+00:00,16.5469,5.3196,0.0
2022-09-26 00:00:00+00:00,16.7746,5.4059,0.0
2022-09-26 00:15:00+00:00,17.2023,5.439,0.0
2022-09-26 00:30:00+00:00,16.7867,5.3366,0.0
2022-09-26 00:45:00+00:00,16.4657,5.4488,0.0
2022-09-26 01:00:00+00:00,17.0495,5.4997,0.0
2022-09-26 01:15:00+00:00,16.8033,5.4049,0.0
2022-09-26 01:30:00+00:00,17.0944,5.3456,0.0
2022-09-26 01:45:00+00:00,16.9852,5.3057,0.0
2022-09-26 02:00:00+00:00,16.9199,5.4352,0.0
2022-09-26 02:15:00+00:00,16.6202,5.3062,0.0
2022-09-26 02:30:00+00:00,16.3295,5.3607,0.0
2022-09-26 02:45:00+00:00,16.7077,5.3763,0.0
2022-09-26 03:00:00+00:00,16.6664,5.5088,0.0
2022-09-26 03:15:00+00:00,16.5229,5.407,0.0
2022-09-26 03:30:00+00:00,16.7484,5.4522,0.0
2022-09-26 03:45:00+00:00,16.6957,5.5593,0.0
2022-09-26 04:00:00+00:00,17.1848,5.4518,0.0
2022-09-26 04:15:00+00:00,17.0068,5.5841,0.0
2022-09-26 04:30:00+00:00,16.4922,5.4671,0.0
2022-09-26 04:45:00+00:00,16.472,5.4829,0.0
2022-09-26 05:00:00+00:00,16.72,5.4445,0.0
2022-09-26 05:15:00+00:00,16.6239,5.4479,0.0
2022-09-26 05:30:00+00:00,16.1782,5.3121,0.0
2022-09-26 05:45:00+00:00,16.0717,5.3631,0.0
2022-09-26 06:00:00+00:00,15.6914,5.33,0.0
2022-09-26 06:15:00+00:00,15.4101,5.2582,0.0
2022-09-26 06:30:00+00:00,15.0664,5.3228,0.0
2022-09-26 06:45:00+00:00,14.7888,5.1819,0.0
2022-09-26 07:00:00+00:00,14.7265,5.2595,0.0
2022-09-26 07:15:00+00:00,14.6587,5.1889,0.0
2022-09-26 07:30:00+00:00,14.726,5.2086,0.0
2022-09-26 07:45:00+00:00,14.3959,5.0517,0.0
2022-09-26 08:00:00+00:00,13.4046,5.1362,0.0
2022-09-26 08:15:00+00:00,13.2051,5.0326,0.0
2022-09-26 08:30:00+00:00,12.8819,5.0864,0.0
2022-09-26 08:45:00+00:00,11.8862,4.9193,0.0
2022-09-26 09:00:00+00:00,10.4005,4.7264,0.0
2022-09-26 09:15:00+00:00,10.4159,4.7409,0.0
2022-09-26 09:30:00+00:00,10.4955,4.7307,0.0
2022-09-26 09:45:00+00:00,9.9673,4.709,0.0
2022-09-26 10:00:00+00:00,9.9653,4.594,0.0
2022-09-26 10:15:00+00:00,9.6054,4.6056,0.0
2022-09-26 10:30:00+00:00,9.474,4.4645,0.0
2022-09-26 10:45:00+00:00,9.479,4.6122,0.0
2022-09-26 11:00:00+00:00,9.8895,4.5535,0.0
2022-09-26 11:15:00+00:00,10.0934,4.8209,0.0
2022-09-26 11:30:00+00:00,9.7479,4.6645,0.0
2022-09-26 11:45:00+00:00,10.3151,4.6921,0.0
2022-09-26 12:00:00+00:00,10.2525,4.7118,0.0
2022-09-26 12:15:00+00:00,9.9761,4.6431,0.0
2022-09-26 12:30:00+00:00,9.441,4.5332,0.0
2022-09-26 12:45:00+00:00,9.2812,4.5389,0.0
2022-09-26 13:00:00+00:00,8.3161,4.4629,0.0
2022-09-26 13:15:00+00:00,8.8703,4.4512,0.0
2022-09-26 13:30:00+00:00,8.5966,4.4643,0.0
2022-09-26 13:45:00+00:00,8.3788,4.5001,0.0
2022-09-26 14:00:00+00:00,8.5203,4.4743,0.0
2022-09-26 14:15:00+00:00,8.5232,4.4472,0.0
2022-09-26 14:30:00+00:00,8.538,4.4767,0.0
2022-09-26 14:45:00+00:00,8.6806,4.4632,0.0
2022-09-26 15:00:00+00:00,8.1837,4.375,0.0
2022-09-26 15:15:00+00:00,8.3285,4.3218,0.0
2022-09-26 15:30:00+00:00,8.0957,4.4764,0.0
2022-09-26 15:45:00+00:00,8.1432,4.4135,0.0
2022-09-26 16:00:00+00:00,8.2144,4.4541,0.0
2022-09-26 16:15:00+00:00,8.2288,4.4586,0.0
2022-09-26 16:30:00+00:00,8.624,4.4282,0.0
2022-09-26 16:45:00+00:00,8.5358,4.4025,0.0
2022-09-26 17:00:00+00:00,8.7735,4.5081,0.0
2022-09-26 17:15:00+00:00,8.8981,4.5716,0.0
2022-09-26 17:30:00+00:00,8.8808,4.4949,0.0
2022-09-26 17:45:00+00:00,8.9009,4.5987,0.0
2022-09-26 18:00:00+00:00,9.3268,4.4862,0.0
2022-09-26 18:15:00+00:00,9.2065,4.4987,0.0
2022-09-26 18:30:00+00:00,9.4006,4.5732,0.0
2022-09-26 18:45:00+00:00,9.1442,4.6388,0.0
2022-09-26 19:00:00+00:00,9.2916,4.4905,0.0
2022-09-26 19:15:00+00:00,9.4106,4.6328,0.0
2022-09-26 19:30:00+00:00,9.1439,4.5227,0.0
2022-09-26 19:45:00+00:00,8.9551,4.6425,0.0
2022-09-26 20:00:00+00:00,9.2695,4.5584,0.0
2022-09-26 20:15:00+00:00,9.1408,4.6476,0.0
2022-09-26 20:30:00+00:00,9.2709,4.5629,0.0
2022-09-26 20:45:00+00:00,9.7756,4.6789,0.0
2022-09-26 21:00:00+00:00,9.9777,4.6197,0.0
2022-09-26 21:15:00+00:00,10.3633,4.6863,0.0
2022-09-26 21:30:00+00:00,10.6696,4.7308,0.0
2022-09-26 21:45:00+00:00,11.3418,4.7247,0.0
2022-09-26 22:00:00+00:00,11.6288,4.8234,0.0
2022-09-26 22:15:00+00:00,12.6319,5.0384,0.0
2022-09-26 22:30:00+00:00,13.8394,5.035,0.0
2022-09-26 22:45:00+00:00,14.6053,5.1811,0.0
2022-09-26 23:00:00+00:00,15.2042,5.2135,0.0
2022-09-26 23:15:00+00:00,15.4296,5.3073,0.0
2022-09-26 23:30:00+00:00,15.3392,5.411,0.0
2022-09-26 23:45:00+00:00,15.5497,5.2206,0.0
2022-09-27 00:00:00+00:00,16.006,5.398,0.0
2022-09-27 00:15:00+00:00,15.6868,5.2955,0.0
2022-09-27 00:30:00+00:00,15.7029,5.3287,0.0
2022-09-27 00:45:00+00:00,15.8148,5.2453,0.0
2022-09-27 01:00:00+00:00,16.2047,5.4212,0.0
2022-09-27 01:15:00+00:00,16.519,5.3512,0.0
2022-09-27 01:30:00+00:00,16.5922,5.4645,0.0
2022-09-27 01:45:00+00:00,17.0947,5.4481,0.0
2022-09-27 02:00:00+00:00,16.9405,5.4815,0.0
2022-09-27 02:15:00+00:00,16.5133,5.4307,0.0
2022-09-27 02:30:00+00:00,16.3784,5.3872,0.0
2022-09-27 02:45:00+00:00,16.3995,5.4515,0.0
2022-09-27 03:00:00+00:00,16.6468,5.2907,0.0
2022-09-27 03:15:00+00:00,16.5244,5.4753,0.0
2022-09-27 03:30:00+00:00,16.6969,5.3955,0.0
2022-09-27 03:45:00+00:00,16.5109,5.518,0.0
2022-09-27 04:00:00+00:00,16.7752,5.5671,0.0
2022-09-27 04:15:00+00:00,16.6083,5.4888,0.0
2022-09-27 04:30:00+00:00,16.709,5.5977,0.0
2022-09-27 04:45:00+00:00,16.7959,5.5338,0.0
2022-09-27 05:00:00+00:00,16.4993,5.593,0.0
2022-09-27 05:15:00+00:00,16.8268,5.4795,0.0
2022-09-27 05:30:00+00:00,17.1034,5.6254,0.0
2022-09-27 05:45:00+00:00,17.1022,5.6017,0.0
2022-09-27 06:00:00+00:00,16.3668,5.5063,0.0
2022-09-27 06:15:00+00:00,15.6227,5.4456,0.0
2022-09-27 06:30:00+00:00,16.0619,5.3745,0.0
2022-09-27 06:45:00+00:00,15.7908,5.5105,0.0
2022-09-27 07:00:00+00:00,15.9003,5.4089,0.0
