timestamp,Usage(kWh)_1,Usage(kWh)_2,Generation(kVarh)_1,Generation(kVarh)_2,Usage(kVarh)_1,Usage(kVarh)_2
2022-09-15 14:00:00+00:00,12.528,8.096,5.2,5.184,0.0,0.0
2022-09-15 14:15:00+00:00,11.68,6.416,5.008,6.624,0.0,0.0
2022-09-15 14:30:00+00:00,10.352,5.92,4.832,7.024,0.0,0.0
2022-09-15 14:45:00+00:00,9.856,6.496,4.976,7.024,0.0,0.0
2022-09-15 15:00:00+00:00,10.368,7.42,4.944,6.128,0.0,0.0
2022-09-15 15:15:00+00:00,9.92,7.0,4.656,6.744,0.0,0.0
2022-09-15 15:30:00+00:00,10.528,6.788,4.976,6.764,0.0,0.0
2022-09-15 15:45:00+00:00,9.872,6.448,4.832,7.008,0.0,0.0
2022-09-15 16:00:00+00:00,10.416,6.192,4.848,6.976,0.0,0.0
2022-09-15 16:15:00+00:00,11.728,5.968,5.024,6.976,0.0,0.0
2022-09-15 16:30:00+00:00,11.184,6.256,5.008,6.992,0.0,0.0
2022-09-15 16:45:00+00:00,10.16,6.432,4.912,6.992,0.0,0.0
2022-09-15 17:00:00+00:00,9.936,5.952,5.024,6.992,0.0,0.0
2022-09-15 17:15:00+00:00,10.448,6.176,4.912,7.008,0.0,0.0
2022-09-15 17:30:00+00:00,9.696,7.28,4.928,7.008,0.0,0.0
2022-09-15 17:45:00+00:00,10.56,6.656,4.992,6.96,0.0,0.0
2022-09-15 18:00:00+00:00,9.808,5.936,4.864,6.976,0.0,0.0
2022-09-15 18:15:00+00:00,10.624,6.4,4.976,6.992,0.0,0.0
2022-09-15 18:30:00+00:00,10.944,6.192,5.008,7.008,0.0,0.0
2022-09-15 18:45:00+00:00,11.568,5.92,4.992,7.04,0.0,0.0
2022-09-15 19:00:00+00:00,17.328,6.4,4.72,6.976,0.0,0.0
2022-09-15 19:15:00+00:00,16.72,10.192,5.12,3.776,0.0,0.0
2022-09-15 19:30:00+00:00,15.728,7.024,5.024,6.128,0.0,0.0
2022-09-15 19:45:00+00:00,13.952,5.424,5.184,7.84,0.0,0.0
2022-09-15 20:00:00+00:00,20.704,12.528,4.976,1.136,0.0,0.352
2022-09-15 20:15:00+00:00,18.384,13.168,5.168,2.592,0.0,0.256
2022-09-15 20:30:00+00:00,18.448,15.232,4.896,2.544,0.0,0.0
2022-09-15 20:45:00+00:00,18.016,14.608,5.216,2.864,0.0,0.016
2022-09-15 21:00:00+00:00,22.032,15.584,4.656,1.104,0.0,0.32
2022-09-15 21:15:00+00:00,22.656,18.992,2.304,1.568,0.032,0.112
2022-09-15 21:30:00+00:00,23.808,21.664,2.08,1.504,0.048,0.208
2022-09-15 21:45:00+00:00,21.2,21.616,2.656,1.424,0.016,0.16
2022-09-15 22:00:00+00:00,20.016,20.768,3.424,1.744,0.0,0.16
2022-09-15 22:15:00+00:00,18.752,19.12,4.032,2.112,0.0,0.0
2022-09-15 22:30:00+00:00,16.912,19.52,4.912,1.68,0.0,0.16
2022-09-15 22:45:00+00:00,17.424,19.472,4.656,1.952,0.0,0.032
2022-09-15 23:00:00+00:00,17.088,18.976,4.16,1.632,0.0,0.112
2022-09-15 23:15:00+00:00,18.672,20.736,4.432,1.056,0.0,0.224
2022-09-15 23:30:00+00:00,20.016,18.96,3.584,1.152,0.0,0.128
2022-09-15 23:45:00+00:00,18.928,18.688,3.888,1.424,0.0,0.0
2022-09-16 00:00:00+00:00,19.6,18.784,4.208,1.344,0.0,0.08
2022-09-16 00:15:00+00:00,19.296,18.544,4.384,1.344,0.0,0.096
