timestamp,Generation(kWh)_1,Usage(kWh)_1,Generation(kVarh)_1,Usage(kVarh)_1
2022-09-28 14:00:00+00:00,0.0,33.92,0.0,26.32
2022-09-28 14:15:00+00:00,0.0,38.88,0.0,31.84
2022-09-28 14:30:00+00:00,0.0,33.28,0.0,22.48
2022-09-28 14:45:00+00:00,0.0,31.16,0.0,22.8
2022-09-28 15:00:00+00:00,0.0,31.96,0.0,24.28
2022-09-28 15:15:00+00:00,0.0,32.48,0.0,24.0
2022-09-28 15:30:00+00:00,0.0,32.46,0.0,24.84
2022-09-28 15:45:00+00:00,0.0,32.66,0.0,24.82
2022-09-28 16:00:00+00:00,0.0,31.66,0.0,23.26
2022-09-28 16:15:00+00:00,0.0,33.08,0.0,24.94
2022-09-28 16:30:00+00:00,0.0,30.98,0.0,23.16
2022-09-28 16:45:00+00:00,0.0,34.04,0.0,26.18
2022-09-28 17:00:00+00:00,0.0,40.36,0.0,33.62
2022-09-28 17:15:00+00:00,0.0,32.98,0.0,24.36
2022-09-28 17:30:00+00:00,0.0,33.92,0.0,25.7
2022-09-28 17:45:00+00:00,0.0,31.42,0.0,23.42
2022-09-28 18:00:00+00:00,0.0,32.92,0.0,24.4
2022-09-28 18:15:00+00:00,0.0,31.6,0.0,23.26
2022-09-28 18:30:00+00:00,0.0,31.1,0.0,23.32
2022-09-28 18:45:00+00:00,0.0,32.56,0.0,24.44
2022-09-28 19:00:00+00:00,0.0,31.92,0.0,23.64
2022-09-28 19:15:00+00:00,0.0,31.6,0.0,22.98
2022-09-28 19:30:00+00:00,0.0,38.16,0.0,29.64
2022-09-28 19:45:00+00:00,0.0,34.14,0.0,24.78
2022-09-28 20:00:00+00:00,0.0,32.26,0.0,22.76
2022-09-28 20:15:00+00:00,0.0,30.8,0.0,21.24
2022-09-28 20:30:00+00:00,0.0,30.92,0.0,22.1
2022-09-28 20:45:00+00:00,0.0,31.04,0.0,22.68
2022-09-28 21:00:00+00:00,0.0,31.34,0.0,22.9
2022-09-28 21:15:00+00:00,0.0,31.04,0.0,23.94
2022-09-28 21:30:00+00:00,0.0,29.22,0.0,22.74
2022-09-28 21:45:00+00:00,0.0,28.88,0.0,23.64
2022-09-28 22:00:00+00:00,0.0,27.68,0.0,22.2
2022-09-28 22:15:00+00:00,0.0,32.46,0.0,28.56
2022-09-28 22:30:00+00:00,0.0,29.54,0.0,26.36
2022-09-28 22:45:00+00:00,0.0,20.42,0.0,22.98
2022-09-28 23:00:00+00:00,0.0,19.8,0.0,23.3
2022-09-28 23:15:00+00:00,0.0,19.52,0.0,24.38
2022-09-28 23:30:00+00:00,0.0,17.18,0.0,22.08
2022-09-28 23:45:00+00:00,0.0,21.14,0.0,23.06
2022-09-29 00:00:00+00:00,0.0,30.82,0.0,34.54
2022-09-29 00:15:00+00:00,0.0,17.3,0.0,22.92
2022-09-29 00:30:00+00:00,0.0,16.0,0.0,23.62
2022-09-29 00:45:00+00:00,0.0,15.68,0.0,22.3
2022-09-29 01:00:00+00:00,0.0,23.7,0.0,22.7
2022-09-29 01:15:00+00:00,0.0,28.4,0.0,25.42
2022-09-29 01:30:00+00:00,0.0,33.9,0.0,31.36
2022-09-29 01:45:00+00:00,0.0,27.82,0.0,24.62
2022-09-29 02:00:00+00:00,0.0,25.22,0.0,23.2
2022-09-29 02:15:00+00:00,0.0,28.66,0.0,27.06
2022-09-29 02:30:00+00:00,0.0,29.1,0.0,27.26
2022-09-29 02:45:00+00:00,0.0,27.2,0.0,24.02
2022-09-29 03:00:00+00:00,0.0,32.56,0.0,28.68
2022-09-29 03:15:00+00:00,0.0,24.48,0.0,27.18
2022-09-29 03:30:00+00:00,0.0,26.02,0.0,25.46
2022-09-29 03:45:00+00:00,0.0,22.96,0.0,25.24
2022-09-29 04:00:00+00:00,0.0,23.1,0.0,29.28
2022-09-29 04:15:00+00:00,0.0,20.2,0.0,23.76
2022-09-29 04:30:00+00:00,0.0,24.76,0.0,28.14
2022-09-29 04:45:00+00:00,0.0,23.8,0.0,24.9
2022-09-29 05:00:00+00:00,0.0,24.34,0.0,23.96
2022-09-29 05:15:00+00:00,0.0,26.4,0.0,26.1
2022-09-29 05:30:00+00:00,0.0,26.74,0.0,26.54
2022-09-29 05:45:00+00:00,0.0,28.26,0.0,24.3
2022-09-29 06:00:00+00:00,0.0,29.84,0.0,25.7
2022-09-29 06:15:00+00:00,0.0,30.1,0.0,25.54
2022-09-29 06:30:00+00:00,0.0,33.58,0.0,23.86
2022-09-29 06:45:00+00:00,0.0,29.04,0.0,21.74
2022-09-29 07:00:00+00:00,0.0,34.1,0.0,28.18
2022-09-29 07:15:00+00:00,0.0,30.38,0.0,22.64
2022-09-29 07:30:00+00:00,0.0,30.16,0.0,21.54
2022-09-29 07:45:00+00:00,0.0,32.74,0.0,23.02
2022-09-29 08:00:00+00:00,0.0,30.76,0.0,22.06
2022-09-29 08:15:00+00:00,0.0,31.44,0.0,22.82
2022-09-29 08:30:00+00:00,0.0,31.66,0.0,22.58
2022-09-29 08:45:00+00:00,0.0,31.84,0.0,23.46
2022-09-29 09:00:00+00:00,0.0,33.88,0.0,26.0
2022-09-29 09:15:00+00:00,0.0,39.8,0.0,32.72
2022-09-29 09:30:00+00:00,0.0,32.56,0.0,24.42
2022-09-29 09:45:00+00:00,0.0,33.02,0.0,24.48
2022-09-29 10:00:00+00:00,0.0,31.78,0.0,23.78
2022-09-29 10:15:00+00:00,0.0,33.16,0.0,24.28
2022-09-29 10:30:00+00:00,0.0,31.88,0.0,22.56
2022-09-29 10:45:00+00:00,0.0,32.12,0.0,23.32
2022-09-29 11:00:00+00:00,0.0,32.16,0.0,23.54
2022-09-29 11:15:00+00:00,0.0,36.48,0.0,28.02
2022-09-29 11:30:00+00:00,0.0,31.54,0.0,22.7
2022-09-29 11:45:00+00:00,0.0,32.74,0.0,23.96
2022-09-29 12:00:00+00:00,0.0,31.0,0.0,22.04
2022-09-29 12:15:00+00:00,0.0,32.8,0.0,23.88
2022-09-29 12:30:00+00:00,0.0,32.34,0.0,23.62
2022-09-29 12:45:00+00:00,0.0,32.42,0.0,22.38
2022-09-29 13:00:00+00:00,0.0,40.84,0.0,30.74
