timestamp,Generation(kWh)_1,Usage(kWh)_1,Generation(kVarh)_1,Usage(kVarh)_1
2022-09-28 14:00:00+00:00,0.0,62.64,0.0,15.48
2022-09-28 14:15:00+00:00,0.0,59.58,0.0,9.18
2022-09-28 14:30:00+00:00,0.0,64.08,0.0,11.1
2022-09-28 14:45:00+00:00,0.0,66.6,0.0,16.08
2022-09-28 15:00:00+00:00,0.0,63.78,0.0,10.74
2022-09-28 15:15:00+00:00,0.0,63.9,0.0,12.66
2022-09-28 15:30:00+00:00,0.0,61.74,0.0,12.18
2022-09-28 15:45:00+00:00,0.0,58.8,0.0,7.8
2022-09-28 16:00:00+00:00,0.0,63.0,0.0,11.22
2022-09-28 16:15:00+00:00,0.0,61.02,0.0,12.48
2022-09-28 16:30:00+00:00,0.0,62.76,0.0,11.58
2022-09-28 16:45:00+00:00,0.0,60.96,0.0,10.38
2022-09-28 17:00:00+00:00,0.0,64.02,0.0,12.84
2022-09-28 17:15:00+00:00,0.0,59.7,0.0,8.46
2022-09-28 17:30:00+00:00,0.0,63.66,0.0,13.02
2022-09-28 17:45:00+00:00,0.0,64.98,0.0,14.28
2022-09-28 18:00:00+00:00,0.0,62.58,0.0,9.78
2022-09-28 18:15:00+00:00,0.0,64.74,0.0,12.3
2022-09-28 18:30:00+00:00,0.0,62.76,0.0,11.4
2022-09-28 18:45:00+00:00,0.0,61.98,0.0,9.06
2022-09-28 19:00:00+00:00,0.0,63.84,0.0,12.9
2022-09-28 19:15:00+00:00,0.0,62.34,0.0,10.8
2022-09-28 19:30:00+00:00,0.0,61.32,0.0,7.56
2022-09-28 19:45:00+00:00,0.0,64.32,0.0,12.36
2022-09-28 20:00:00+00:00,0.0,60.78,0.0,8.4
2022-09-28 20:15:00+00:00,0.0,61.98,0.0,8.4
2022-09-28 20:30:00+00:00,0.0,71.04,0.0,16.2
2022-09-28 20:45:00+00:00,0.0,65.4,0.0,15.24
2022-09-28 21:00:00+00:00,0.0,60.66,0.0,11.76
2022-09-28 21:15:00+00:00,0.0,63.78,0.0,17.52
2022-09-28 21:30:00+00:00,0.0,64.92,0.0,20.22
2022-09-28 21:45:00+00:00,0.0,47.4,0.0,16.8
2022-09-28 22:00:00+00:00,0.0,55.32,0.0,18.12
2022-09-28 22:15:00+00:00,0.0,54.72,0.0,16.74
2022-09-28 22:30:00+00:00,0.0,41.64,0.0,14.88
2022-09-28 22:45:00+00:00,0.0,59.88,0.0,22.38
2022-09-28 23:00:00+00:00,0.0,65.7,0.0,20.28
2022-09-28 23:15:00+00:00,0.0,54.42,0.0,13.92
2022-09-28 23:30:00+00:00,0.12,28.8,0.0,17.58
2022-09-28 23:45:00+00:00,0.06,25.2,0.0,17.4
2022-09-29 00:00:00+00:00,0.06,38.58,0.0,17.22
2022-09-29 00:15:00+00:00,0.0,45.06,0.0,18.42
2022-09-29 00:30:00+00:00,0.0,47.52,0.0,17.04
2022-09-29 00:45:00+00:00,0.0,42.78,0.0,17.7
2022-09-29 01:00:00+00:00,0.0,53.46,0.0,18.84
2022-09-29 01:15:00+00:00,0.0,51.54,0.0,12.24
2022-09-29 01:30:00+00:00,0.0,56.52,0.0,16.62
2022-09-29 01:45:00+00:00,0.0,64.56,0.0,19.92
2022-09-29 02:00:00+00:00,0.0,59.16,0.0,18.06
2022-09-29 02:15:00+00:00,0.0,40.56,0.0,18.3
2022-09-29 02:30:00+00:00,0.0,46.68,0.0,22.14
2022-09-29 02:45:00+00:00,0.06,23.28,0.0,15.66
2022-09-29 03:00:00+00:00,0.0,64.68,0.0,18.42
2022-09-29 03:15:00+00:00,0.0,55.68,0.0,17.58
2022-09-29 03:30:00+00:00,0.0,62.4,0.0,13.92
2022-09-29 03:45:00+00:00,0.0,49.26,0.0,17.76
2022-09-29 04:00:00+00:00,0.12,28.86,0.0,16.26
2022-09-29 04:15:00+00:00,0.0,51.3,0.0,7.44
2022-09-29 04:30:00+00:00,0.0,53.7,0.0,12.84
2022-09-29 04:45:00+00:00,0.12,25.62,0.0,17.7
2022-09-29 05:00:00+00:00,0.0,21.3,0.0,17.4
2022-09-29 05:15:00+00:00,0.0,50.88,0.0,16.62
2022-09-29 05:30:00+00:00,0.0,22.08,0.0,14.88
2022-09-29 05:45:00+00:00,0.0,34.74,0.0,15.0
2022-09-29 06:00:00+00:00,0.0,29.82,0.0,13.26
