timestamp,Usage(kWh)_1,Generation(kVarh)_1,Usage(kVarh)_1
2022-09-28 14:00:00+00:00,6.64,0.0,6.312
2022-09-28 14:15:00+00:00,6.636,0.0,6.42
2022-09-28 14:30:00+00:00,6.656,0.0,6.512
2022-09-28 14:45:00+00:00,6.68,0.0,6.328
2022-09-28 15:00:00+00:00,6.64,0.0,6.368
2022-09-28 15:15:00+00:00,6.7,0.0,6.412
2022-09-28 15:30:00+00:00,6.728,0.0,6.44
2022-09-28 15:45:00+00:00,6.696,0.0,6.5
2022-09-28 16:00:00+00:00,6.736,0.0,6.484
2022-09-28 16:15:00+00:00,6.672,0.0,6.444
2022-09-28 16:30:00+00:00,6.608,0.0,6.392
2022-09-28 16:45:00+00:00,6.624,0.0,6.304
2022-09-28 17:00:00+00:00,6.64,0.0,6.324
2022-09-28 17:15:00+00:00,6.568,0.0,6.5
2022-09-28 17:30:00+00:00,6.628,0.0,6.404
2022-09-28 17:45:00+00:00,6.68,0.0,6.38
2022-09-28 18:00:00+00:00,6.632,0.0,6.336
2022-09-28 18:15:00+00:00,6.58,0.0,6.44
2022-09-28 18:30:00+00:00,6.524,0.0,6.568
2022-09-28 18:45:00+00:00,6.54,0.0,6.58
2022-09-28 19:00:00+00:00,6.492,0.0,6.592
2022-09-28 19:15:00+00:00,6.592,0.0,6.48
2022-09-28 19:30:00+00:00,6.504,0.0,6.3
2022-09-28 19:45:00+00:00,6.504,0.0,6.244
2022-09-28 20:00:00+00:00,6.536,0.0,6.364
2022-09-28 20:15:00+00:00,5.012,0.0,4.712
2022-09-28 20:30:00+00:00,3.18,0.0,2.532
2022-09-28 20:45:00+00:00,2.916,0.0,2.344
2022-09-28 21:00:00+00:00,2.368,0.0,1.928
2022-09-28 21:15:00+00:00,2.348,0.0,1.92
2022-09-28 21:30:00+00:00,1.992,0.0,1.892
2022-09-28 21:45:00+00:00,1.78,0.0,1.856
2022-09-28 22:00:00+00:00,1.88,0.0,1.92
2022-09-28 22:15:00+00:00,1.868,0.0,1.912
2022-09-28 22:30:00+00:00,1.828,0.0,1.88
2022-09-28 22:45:00+00:00,1.892,0.0,1.912
2022-09-28 23:00:00+00:00,1.936,0.0,1.964
2022-09-28 23:15:00+00:00,1.748,0.0,1.828
2022-09-28 23:30:00+00:00,1.904,0.0,2.032
2022-09-28 23:45:00+00:00,1.752,0.0,1.848
2022-09-29 00:00:00+00:00,1.748,0.0,1.836
2022-09-29 00:15:00+00:00,1.752,0.0,1.852
2022-09-29 00:30:00+00:00,1.752,0.0,1.852
2022-09-29 00:45:00+00:00,1.76,0.0,1.856
2022-09-29 01:00:00+00:00,1.752,0.0,1.852
2022-09-29 01:15:00+00:00,1.764,0.0,1.852
2022-09-29 01:30:00+00:00,1.724,0.0,1.792
2022-09-29 01:45:00+00:00,1.728,0.0,1.788
2022-09-29 02:00:00+00:00,1.736,0.0,1.808
2022-09-29 02:15:00+00:00,1.74,0.0,1.816
2022-09-29 02:30:00+00:00,1.74,0.0,1.812
2022-09-29 02:45:00+00:00,1.736,0.0,1.804
2022-09-29 03:00:00+00:00,1.736,0.0,1.812
2022-09-29 03:15:00+00:00,1.744,0.0,1.816
2022-09-29 03:30:00+00:00,1.736,0.0,1.812
2022-09-29 03:45:00+00:00,1.736,0.0,1.808
2022-09-29 04:00:00+00:00,1.732,0.0,1.796
2022-09-29 04:15:00+00:00,1.74,0.0,1.808
2022-09-29 04:30:00+00:00,1.748,0.0,1.836
2022-09-29 04:45:00+00:00,1.776,0.0,1.82
2022-09-29 05:00:00+00:00,1.744,0.0,1.812
2022-09-29 05:15:00+00:00,1.732,0.0,1.812
2022-09-29 05:30:00+00:00,1.776,0.0,1.872
2022-09-29 05:45:00+00:00,1.744,0.0,1.824
2022-09-29 06:00:00+00:00,1.876,0.0,1.848
2022-09-29 06:15:00+00:00,1.888,0.0,1.828
2022-09-29 06:30:00+00:00,1.892,0.0,1.836
2022-09-29 06:45:00+00:00,5.012,0.0,5.68
2022-09-29 07:00:00+00:00,6.412,0.0,6.324
2022-09-29 07:15:00+00:00,6.28,0.0,6.22
2022-09-29 07:30:00+00:00,6.988,0.0,6.672
2022-09-29 07:45:00+00:00,6.996,0.0,6.724
2022-09-29 08:00:00+00:00,6.996,0.0,6.848
2022-09-29 08:15:00+00:00,7.288,0.0,6.984
2022-09-29 08:30:00+00:00,7.272,0.0,6.972
2022-09-29 08:45:00+00:00,7.064,0.0,6.8
2022-09-29 09:00:00+00:00,7.208,0.0,6.984
2022-09-29 09:15:00+00:00,7.128,0.0,6.964
2022-09-29 09:30:00+00:00,7.116,0.0,7.1
2022-09-29 09:45:00+00:00,7.016,0.0,6.796
2022-09-29 10:00:00+00:00,7.036,0.0,6.968
2022-09-29 10:15:00+00:00,7.096,0.0,7.024
2022-09-29 10:30:00+00:00,7.1,0.0,6.916
2022-09-29 10:45:00+00:00,7.096,0.0,7.02
2022-09-29 11:00:00+00:00,7.072,0.0,7.108
2022-09-29 11:15:00+00:00,7.056,0.0,7.124
2022-09-29 11:30:00+00:00,7.044,0.0,6.9
2022-09-29 11:45:00+00:00,7.096,0.0,7.024
2022-09-29 12:00:00+00:00,7.04,0.0,6.912
2022-09-29 12:15:00+00:00,7.044,0.0,6.94
2022-09-29 12:30:00+00:00,7.088,0.0,6.964
2022-09-29 12:45:00+00:00,7.104,0.0,7.092
2022-09-29 13:00:00+00:00,7.12,0.0,7.084
2022-09-29 13:15:00+00:00,6.98,0.0,6.784
2022-09-29 13:30:00+00:00,6.952,0.0,6.764
2022-09-29 13:45:00+00:00,6.932,0.0,6.696
2022-09-29 14:00:00+00:00,6.48,0.0,6.592
