timestamp,Generation(kWh)_1,Usage(kWh)_1,Generation(kVarh)_1,Usage(kVarh)_1
2022-09-28 14:00:00+00:00,0.0,0.896,0.0,0.128
2022-09-28 14:15:00+00:00,0.0,0.872,0.0,0.112
2022-09-28 14:30:00+00:00,0.0,0.808,0.004,0.036
2022-09-28 14:45:00+00:00,0.0,0.832,0.008,0.048
2022-09-28 15:00:00+00:00,0.0,0.808,0.0,0.1
2022-09-28 15:15:00+00:00,0.0,1.256,0.0,0.292
2022-09-28 15:30:00+00:00,0.0,1.344,0.0,0.332
2022-09-28 15:45:00+00:00,0.0,1.272,0.0,0.212
2022-09-28 16:00:00+00:00,0.0,0.996,0.004,0.096
2022-09-28 16:15:00+00:00,0.0,0.608,0.0,0.096
2022-09-28 16:30:00+00:00,0.0,0.488,0.0,0.064
2022-09-28 16:45:00+00:00,0.0,0.508,0.0,0.048
2022-09-28 17:00:00+00:00,0.0,0.508,0.016,0.036
2022-09-28 17:15:00+00:00,0.0,0.436,0.064,0.0
2022-09-28 17:30:00+00:00,0.0,0.424,0.02,0.028
2022-09-28 17:45:00+00:00,0.0,0.492,0.004,0.072
2022-09-28 18:00:00+00:00,0.0,0.516,0.004,0.072
2022-09-28 18:15:00+00:00,0.0,0.468,0.032,0.028
2022-09-28 18:30:00+00:00,0.0,0.432,0.024,0.024
2022-09-28 18:45:00+00:00,0.0,0.464,0.032,0.04
2022-09-28 19:00:00+00:00,0.0,0.464,0.032,0.032
2022-09-28 19:15:00+00:00,0.0,0.46,0.016,0.036
2022-09-28 19:30:00+00:00,0.0,0.456,0.016,0.04
2022-09-28 19:45:00+00:00,0.0,0.472,0.008,0.024
2022-09-28 20:00:00+00:00,0.0,0.872,0.0,0.116
2022-09-28 20:15:00+00:00,0.0,1.416,0.0,0.344
2022-09-28 20:30:00+00:00,0.0,1.324,0.0,0.192
2022-09-28 20:45:00+00:00,0.0,1.508,0.0,0.156
2022-09-28 21:00:00+00:00,0.0,1.236,0.0,0.144
2022-09-28 21:15:00+00:00,0.0,1.352,0.0,0.128
2022-09-28 21:30:00+00:00,0.0,2.184,0.0,0.312
2022-09-28 21:45:00+00:00,0.0,2.016,0.0,0.284
2022-09-28 22:00:00+00:00,0.0,1.748,0.0,0.304
2022-09-28 22:15:00+00:00,0.004,1.416,0.0,0.308
2022-09-28 22:30:00+00:00,0.0,1.524,0.0,0.348
2022-09-28 22:45:00+00:00,0.0,1.352,0.0,0.204
2022-09-28 23:00:00+00:00,0.0,1.2,0.0,0.124
2022-09-28 23:15:00+00:00,0.0,0.884,0.0,0.148
2022-09-28 23:30:00+00:00,0.0,0.9,0.0,0.152
2022-09-28 23:45:00+00:00,0.0,1.176,0.004,0.228
2022-09-29 00:00:00+00:00,0.0,1.16,0.0,0.376
2022-09-29 00:15:00+00:00,0.0,0.888,0.0,0.272
2022-09-29 00:30:00+00:00,0.0,0.848,0.0,0.256
2022-09-29 00:45:00+00:00,0.0,0.86,0.0,0.244
2022-09-29 01:00:00+00:00,0.0,0.784,0.0,0.16
2022-09-29 01:15:00+00:00,0.0,0.812,0.0,0.188
2022-09-29 01:30:00+00:00,0.0,0.836,0.0,0.244
2022-09-29 01:45:00+00:00,0.0,1.38,0.0,0.348
2022-09-29 02:00:00+00:00,0.0,1.564,0.0,0.336
2022-09-29 02:15:00+00:00,0.0,1.232,0.0,0.352
2022-09-29 02:30:00+00:00,0.0,1.088,0.0,0.316
2022-09-29 02:45:00+00:00,0.0,0.848,0.0,0.312
2022-09-29 03:00:00+00:00,0.0,1.108,0.0,0.292
2022-09-29 03:15:00+00:00,0.0,0.516,0.0,0.14
2022-09-29 03:30:00+00:00,0.0,0.484,0.0,0.168
2022-09-29 03:45:00+00:00,0.0,0.732,0.0,0.136
2022-09-29 04:00:00+00:00,0.0,1.412,0.0,0.264
2022-09-29 04:15:00+00:00,0.0,1.3,0.0,0.46
2022-09-29 04:30:00+00:00,0.0,1.3,0.0,0.384
2022-09-29 04:45:00+00:00,0.0,0.86,0.0,0.3
2022-09-29 05:00:00+00:00,0.0,0.768,0.0,0.148
2022-09-29 05:15:00+00:00,0.0,1.004,0.0,0.18
2022-09-29 05:30:00+00:00,0.0,0.844,0.0,0.184
2022-09-29 05:45:00+00:00,0.0,0.716,0.0,0.124
2022-09-29 06:00:00+00:00,0.0,1.228,0.0,0.244
2022-09-29 06:15:00+00:00,0.0,1.192,0.0,0.244
2022-09-29 06:30:00+00:00,0.0,1.1,0.0,0.304
2022-09-29 06:45:00+00:00,0.0,0.792,0.0,0.252
2022-09-29 07:00:00+00:00,0.0,0.856,0.0,0.176
2022-09-29 07:15:00+00:00,0.0,1.788,0.0,0.26
2022-09-29 07:30:00+00:00,0.0,1.764,0.0,0.328
2022-09-29 07:45:00+00:00,0.0,1.456,0.0,0.308
2022-09-29 08:00:00+00:00,0.0,1.284,0.0,0.244
2022-09-29 08:15:00+00:00,0.0,1.432,0.024,0.036
2022-09-29 08:30:00+00:00,0.0,2.312,0.0,0.18
2022-09-29 08:45:00+00:00,0.0,1.844,0.0,0.228
2022-09-29 09:00:00+00:00,0.0,1.428,0.0,0.116
2022-09-29 09:15:00+00:00,0.0,1.372,0.044,0.028
2022-09-29 09:30:00+00:00,0.0,1.504,0.036,0.072
2022-09-29 09:45:00+00:00,0.0,1.328,0.016,0.032
2022-09-29 10:00:00+00:00,0.0,1.088,0.092,0.0
2022-09-29 10:15:00+00:00,0.0,1.788,0.004,0.2
2022-09-29 10:30:00+00:00,0.0,1.668,0.0,0.372
2022-09-29 10:45:00+00:00,0.0,1.7,0.0,0.364
2022-09-29 11:00:00+00:00,0.004,1.448,0.0,0.348
2022-09-29 11:15:00+00:00,0.0,1.408,0.0,0.296
2022-09-29 11:30:00+00:00,0.0,1.408,0.0,0.324
2022-09-29 11:45:00+00:00,0.0,0.784,0.024,0.064
2022-09-29 12:00:00+00:00,0.0,0.684,0.008,0.084
2022-09-29 12:15:00+00:00,0.0,0.604,0.0,0.096
2022-09-29 12:30:00+00:00,0.0,0.58,0.0,0.068
2022-09-29 12:45:00+00:00,0.0,0.612,0.0,0.124
2022-09-29 13:00:00+00:00,0.0,0.552,0.008,0.04
2022-09-29 13:15:00+00:00,0.0,0.564,0.032,0.044
2022-09-29 13:30:00+00:00,0.0,0.568,0.024,0.04
2022-09-29 13:45:00+00:00,0.0,0.592,0.0,0.06
2022-09-29 14:00:00+00:00,0.0,0.64,0.0,0.108
2022-09-29 14:15:00+00:00,0.0,0.6,0.0,0.068
2022-09-29 14:30:00+00:00,0.0,0.596,0.0,0.072
2022-09-29 14:45:00+00:00,0.0,0.32,0.02,0.044
2022-09-29 15:00:00+00:00,0.0,0.32,0.012,0.036
2022-09-29 15:15:00+00:00,0.0,0.636,0.0,0.24
2022-09-29 15:30:00+00:00,0.0,0.616,0.0,0.22
2022-09-29 15:45:00+00:00,0.0,0.384,0.008,0.072
2022-09-29 16:00:00+00:00,0.0,0.32,0.008,0.048
2022-09-29 16:15:00+00:00,0.0,0.236,0.072,0.012
2022-09-29 16:30:00+00:00,0.0,0.28,0.028,0.036
2022-09-29 16:45:00+00:00,0.0,0.316,0.008,0.036
2022-09-29 17:00:00+00:00,0.0,0.38,0.036,0.024
2022-09-29 17:15:00+00:00,0.0,0.28,0.024,0.016
2022-09-29 17:30:00+00:00,0.0,0.304,0.036,0.032
2022-09-29 17:45:00+00:00,0.0,0.316,0.004,0.036
2022-09-29 18:00:00+00:00,0.0,0.336,0.004,0.076
2022-09-29 18:15:00+00:00,0.0,0.308,0.016,0.04
2022-09-29 18:30:00+00:00,0.0,0.296,0.036,0.024
2022-09-29 18:45:00+00:00,0.0,0.304,0.02,0.032
2022-09-29 19:00:00+00:00,0.0,0.264,0.06,0.02
2022-09-29 19:15:00+00:00,0.0,0.524,0.0,0.052
2022-09-29 19:30:00+00:00,0.0,0.6,0.0,0.136
2022-09-29 19:45:00+00:00,0.0,0.564,0.0,0.056
2022-09-29 20:00:00+00:00,0.0,0.424,0.0,0.052
2022-09-29 20:15:00+00:00,0.0,0.884,0.036,0.036
2022-09-29 20:30:00+00:00,0.0,0.568,0.084,0.016
2022-09-29 20:45:00+00:00,0.0,0.78,0.044,0.036
2022-09-29 21:00:00+00:00,0.0,1.664,0.0,0.064
2022-09-29 21:15:00+00:00,0.0,1.784,0.0,0.096
2022-09-29 21:30:00+00:00,0.0,1.744,0.0,0.14
2022-09-29 21:45:00+00:00,0.0,1.532,0.0,0.168
2022-09-29 22:00:00+00:00,0.0,0.744,0.024,0.076
2022-09-29 22:15:00+00:00,0.0,0.712,0.008,0.056
2022-09-29 22:30:00+00:00,0.0,0.396,0.0,0.072
2022-09-29 22:45:00+00:00,0.0,0.376,0.008,0.064
2022-09-29 23:00:00+00:00,0.0,0.396,0.0,0.064
2022-09-29 23:15:00+00:00,0.0,0.344,0.032,0.028
2022-09-29 23:30:00+00:00,0.0,0.292,0.08,0.02
2022-09-29 23:45:00+00:00,0.0,0.348,0.016,0.048
2022-09-30 00:00:00+00:00,0.0,0.308,0.032,0.032
2022-09-30 00:15:00+00:00,0.0,0.352,0.02,0.064
2022-09-30 00:30:00+00:00,0.0,0.312,0.036,0.032
2022-09-30 00:45:00+00:00,0.0,0.276,0.068,0.028
2022-09-30 01:00:00+00:00,0.0,0.308,0.08,0.004
2022-09-30 01:15:00+00:00,0.0,0.364,0.012,0.04
2022-09-30 01:30:00+00:00,0.0,0.384,0.0,0.132
2022-09-30 01:45:00+00:00,0.0,0.372,0.0,0.128
2022-09-30 02:00:00+00:00,0.0,0.308,0.012,0.06
2022-09-30 02:15:00+00:00,0.0,0.312,0.016,0.052
