timestamp,Usage(kWh)_1,Generation(kVarh)_1,Usage(kVarh)_1
2022-09-28 14:00:00+00:00,5.3745,0.0,0.9246
2022-09-28 14:15:00+00:00,5.3906,0.0,0.8598
2022-09-28 14:30:00+00:00,5.461,0.0,0.9172
2022-09-28 14:45:00+00:00,5.3216,0.0,0.8148
2022-09-28 15:00:00+00:00,5.165,0.0,0.775
2022-09-28 15:15:00+00:00,5.2097,0.0,0.7677
2022-09-28 15:30:00+00:00,5.2809,0.0,0.8025
2022-09-28 15:45:00+00:00,5.2513,0.0,0.8121
2022-09-28 16:00:00+00:00,5.2345,0.0,0.7883
2022-09-28 16:15:00+00:00,5.3657,0.0,0.7598
2022-09-28 16:30:00+00:00,5.1597,0.0,0.7982
2022-09-28 16:45:00+00:00,5.2367,0.0,0.8006
2022-09-28 17:00:00+00:00,5.2231,0.0,0.8104
2022-09-28 17:15:00+00:00,5.1735,0.0,0.7761
2022-09-28 17:30:00+00:00,5.1878,0.0,0.786
2022-09-28 17:45:00+00:00,5.1727,0.0,0.7415
2022-09-28 18:00:00+00:00,5.1644,0.0,0.8494
2022-09-28 18:15:00+00:00,5.0824,0.0,0.7273
2022-09-28 18:30:00+00:00,5.1397,0.0,0.8079
2022-09-28 18:45:00+00:00,5.1897,0.0,0.6981
2022-09-28 19:00:00+00:00,5.0584,0.0,0.7151
2022-09-28 19:15:00+00:00,5.0305,0.0,0.6249
2022-09-28 19:30:00+00:00,4.9653,0.0,0.6273
2022-09-28 19:45:00+00:00,5.2291,0.0,0.7121
2022-09-28 20:00:00+00:00,5.0382,0.0,0.6395
2022-09-28 20:15:00+00:00,5.1163,0.0,0.7049
2022-09-28 20:30:00+00:00,5.1525,0.0,0.7262
2022-09-28 20:45:00+00:00,5.4767,0.0,0.8207
2022-09-28 21:00:00+00:00,5.3506,0.0,0.9946
2022-09-28 21:15:00+00:00,5.3966,0.0,1.0094
2022-09-28 21:30:00+00:00,5.3253,0.0,0.9232
2022-09-28 21:45:00+00:00,5.5399,0.0,1.0493
2022-09-28 22:00:00+00:00,5.3517,0.0,0.9024
2022-09-28 22:15:00+00:00,5.4571,0.0,0.9506
