timestamp,Generation(kWh)_1,Generation(kWh)_2,Generation(kWh)_3,Usage(kWh)_1,Usage(kWh)_2,Usage(kWh)_3,Generation(kVarh)_1,Generation(kVarh)_2,Generation(kVarh)_3,Usage(kVarh)_1,Usage(kVarh)_2,Usage(kVarh)_3
2022-09-28 14:00:00+00:00,0.0,0.0,0.0,31.56,12.44,19.2,30.68,0.24,2.22,0.0,0.36,0.42
2022-09-28 14:15:00+00:00,0.0,0.0,0.0,31.8,12.24,21.81,30.6,0.12,1.83,0.0,0.24,0.72
2022-09-28 14:30:00+00:00,0.0,0.0,0.0,31.44,12.44,19.71,30.6,0.08,2.13,0.0,0.24,0.84
2022-09-28 14:45:00+00:00,0.0,0.0,0.0,32.04,11.84,20.25,30.64,0.2,1.71,0.0,0.36,0.69
2022-09-28 15:00:00+00:00,0.0,0.0,0.0,31.04,11.72,19.35,30.32,0.24,1.77,0.0,0.36,0.15
2022-09-28 15:15:00+00:00,0.0,0.0,0.0,31.4,11.28,20.76,30.16,0.12,1.35,0.0,0.4,0.84
2022-09-28 15:30:00+00:00,0.0,0.0,0.0,31.28,11.32,19.62,30.48,0.12,1.56,0.0,0.32,0.54
2022-09-28 15:45:00+00:00,0.0,0.0,0.0,31.84,11.24,19.08,30.48,0.12,1.56,0.0,0.4,0.48
2022-09-28 16:00:00+00:00,0.0,0.0,0.0,30.48,10.96,18.03,30.28,0.12,1.8,0.0,0.24,0.15
2022-09-28 16:15:00+00:00,0.0,0.0,0.0,29.88,11.84,19.53,30.24,0.08,1.68,0.0,0.28,1.23
2022-09-28 16:30:00+00:00,0.0,0.0,0.0,29.92,11.84,19.44,30.08,0.16,1.86,0.0,0.28,0.57
2022-09-28 16:45:00+00:00,0.0,0.0,0.0,29.52,11.92,18.48,30.12,0.16,1.95,0.0,0.4,0.6
2022-09-28 17:00:00+00:00,0.0,0.0,0.0,29.48,12.0,19.08,30.08,0.16,1.17,0.0,0.28,0.75
2022-09-28 17:15:00+00:00,0.0,0.0,0.0,29.72,11.76,18.06,30.12,0.12,2.46,0.0,0.36,0.21
2022-09-28 17:30:00+00:00,0.0,0.0,0.0,29.4,10.72,20.4,30.12,0.28,1.26,0.0,0.32,0.54
2022-09-28 17:45:00+00:00,0.0,0.0,0.0,29.92,11.4,19.32,29.88,0.2,1.53,0.0,0.48,0.78
2022-09-28 18:00:00+00:00,0.0,0.0,0.0,30.08,11.16,19.47,30.0,0.2,1.44,0.0,0.28,0.24
2022-09-28 18:15:00+00:00,0.0,0.0,0.0,29.92,10.88,18.96,29.88,0.08,2.49,0.0,0.32,0.45
2022-09-28 18:30:00+00:00,0.0,0.0,0.0,29.8,10.96,19.44,29.88,0.16,1.38,0.0,0.28,0.36
2022-09-28 18:45:00+00:00,0.0,0.0,0.0,30.16,11.0,18.84,29.92,0.16,2.04,0.0,0.32,0.81
2022-09-28 19:00:00+00:00,0.0,0.0,0.0,29.96,11.6,18.36,29.88,0.2,1.83,0.0,0.24,0.45
2022-09-28 19:15:00+00:00,0.0,0.0,0.0,30.36,11.88,18.12,29.64,0.16,2.13,0.0,0.36,0.21
2022-09-28 19:30:00+00:00,0.0,0.0,0.0,30.04,11.72,19.95,29.6,0.12,2.31,0.0,0.36,1.62
2022-09-28 19:45:00+00:00,0.0,0.0,0.0,29.76,11.12,18.09,29.52,0.04,0.99,0.0,0.6,0.45
2022-09-28 20:00:00+00:00,0.0,0.0,0.0,35.0,10.48,18.84,29.84,0.04,1.62,0.0,0.68,0.78
2022-09-28 20:15:00+00:00,0.0,0.0,0.0,34.12,20.68,18.72,29.76,1.4,1.17,0.0,0.68,0.72
2022-09-28 20:30:00+00:00,0.0,0.0,0.0,32.0,24.56,25.47,30.16,1.88,0.24,0.0,0.84,1.89
2022-09-28 20:45:00+00:00,0.0,0.0,0.0,33.44,38.2,32.46,29.56,2.28,0.12,0.0,0.52,3.48
2022-09-28 21:00:00+00:00,0.0,0.0,0.0,32.56,30.92,30.57,28.16,1.84,0.36,0.0,0.0,1.98
2022-09-28 21:15:00+00:00,0.0,0.0,0.0,31.08,37.16,31.44,27.4,0.4,0.12,0.0,0.68,3.45
2022-09-28 21:30:00+00:00,0.0,0.0,0.0,32.48,32.8,30.42,26.96,1.32,0.03,0.0,0.08,3.06
2022-09-28 21:45:00+00:00,0.0,0.0,0.0,32.08,30.8,27.99,26.56,0.52,0.27,0.0,0.28,2.7
2022-09-28 22:00:00+00:00,0.0,0.0,0.0,30.48,33.32,25.38,26.88,1.76,0.18,0.0,0.08,2.46
2022-09-28 22:15:00+00:00,0.0,0.0,0.0,29.4,23.88,23.55,27.12,0.36,0.0,0.0,0.44,3.24
2022-09-28 22:30:00+00:00,0.0,0.0,0.0,29.48,30.08,26.34,26.04,1.2,0.0,0.0,0.04,4.11
2022-09-28 22:45:00+00:00,0.0,0.0,0.0,29.84,23.4,23.49,26.12,0.4,0.0,0.0,0.12,3.84
2022-09-28 23:00:00+00:00,0.0,0.0,0.0,28.68,28.64,25.77,25.8,1.08,0.0,0.0,0.36,4.95
2022-09-28 23:15:00+00:00,0.0,0.0,0.0,27.6,20.48,24.36,26.0,0.32,0.0,0.0,0.12,5.01
2022-09-28 23:30:00+00:00,0.0,0.0,0.0,27.12,27.8,24.48,26.36,1.04,0.24,0.0,0.52,3.51
2022-09-28 23:45:00+00:00,0.0,0.0,0.0,25.28,18.12,22.77,26.32,0.4,0.03,0.0,0.08,4.41
2022-09-29 00:00:00+00:00,0.0,0.0,0.0,26.12,26.0,24.45,22.72,1.68,0.0,0.0,0.32,5.64
