timestamp,Generation(kWh)_1,Usage(kWh)_1,Generation(kVarh)_1,Usage(kVarh)_1
2022-09-28 14:00:00+00:00,0.0,24.448,0.0,8.16
2022-09-28 14:15:00+00:00,0.0,23.808,0.0,8.544
2022-09-28 14:30:00+00:00,0.0,24.032,0.0,8.704
2022-09-28 14:45:00+00:00,0.0,23.488,0.0,8.528
2022-09-28 15:00:00+00:00,0.0,22.944,0.0,7.488
2022-09-28 15:15:00+00:00,0.0,23.52,0.0,8.496
2022-09-28 15:30:00+00:00,0.0,21.632,0.0,7.36
2022-09-28 15:45:00+00:00,0.0,23.056,0.0,8.496
2022-09-28 16:00:00+00:00,0.0,22.8,0.0,7.328
2022-09-28 16:15:00+00:00,0.0,23.264,0.0,7.264
2022-09-28 16:30:00+00:00,0.0,21.392,0.0,7.584
2022-09-28 16:45:00+00:00,0.0,21.856,0.0,7.648
2022-09-28 17:00:00+00:00,0.0,21.408,0.0,7.168
2022-09-28 17:15:00+00:00,0.0,22.704,0.0,7.456
2022-09-28 17:30:00+00:00,0.0,22.592,0.0,7.344
2022-09-28 17:45:00+00:00,0.0,21.728,0.0,7.344
2022-09-28 18:00:00+00:00,0.0,21.024,0.0,7.52
2022-09-28 18:15:00+00:00,0.0,21.152,0.0,7.376
2022-09-28 18:30:00+00:00,0.0,24.224,0.0,8.128
2022-09-28 18:45:00+00:00,0.0,21.952,0.0,8.304
2022-09-28 19:00:00+00:00,0.0,20.752,0.0,7.184
2022-09-28 19:15:00+00:00,0.0,21.568,0.0,7.376
2022-09-28 19:30:00+00:00,0.0,21.488,0.0,7.056
2022-09-28 19:45:00+00:00,0.0,22.416,0.0,7.424
2022-09-28 20:00:00+00:00,0.0,20.208,0.0,7.056
2022-09-28 20:15:00+00:00,0.0,21.456,0.0,7.472
2022-09-28 20:30:00+00:00,0.0,22.208,0.0,8.048
2022-09-28 20:45:00+00:00,0.0,22.752,0.0,7.52
2022-09-28 21:00:00+00:00,0.0,23.136,0.0,7.776
2022-09-28 21:15:00+00:00,0.0,24.128,0.0,8.608
2022-09-28 21:30:00+00:00,0.0,22.496,0.0,6.8
2022-09-28 21:45:00+00:00,0.0,27.936,0.0,8.768
