timestamp,Generation(kWh)_1,Usage(kWh)_1,Generation(kVarh)_1,Usage(kVarh)_1
2022-09-28 14:00:00+00:00,0.0,25.376,0.0,5.52
2022-09-28 14:15:00+00:00,0.0,24.992,0.0,5.36
2022-09-28 14:30:00+00:00,0.0,24.976,0.0,5.072
2022-09-28 14:45:00+00:00,0.0,26.288,0.0,5.248
2022-09-28 15:00:00+00:00,0.0,24.736,0.0,4.656
2022-09-28 15:15:00+00:00,0.0,24.384,0.0,4.832
2022-09-28 15:30:00+00:00,0.0,24.752,0.0,4.768
2022-09-28 15:45:00+00:00,0.0,24.944,0.0,4.864
2022-09-28 16:00:00+00:00,0.0,24.592,0.0,4.832
2022-09-28 16:15:00+00:00,0.0,26.96,0.0,5.984
2022-09-28 16:30:00+00:00,0.0,26.816,0.0,5.28
2022-09-28 16:45:00+00:00,0.0,24.32,0.0,5.376
2022-09-28 17:00:00+00:00,0.0,24.128,0.0,5.12
2022-09-28 17:15:00+00:00,0.0,25.312,0.0,5.344
2022-09-28 17:30:00+00:00,0.0,25.552,0.0,5.36
2022-09-28 17:45:00+00:00,0.0,23.552,0.0,5.36
2022-09-28 18:00:00+00:00,0.0,24.784,0.0,4.976
2022-09-28 18:15:00+00:00,0.0,26.64,0.0,5.248
2022-09-28 18:30:00+00:00,0.0,26.144,0.0,5.648
2022-09-28 18:45:00+00:00,0.0,25.584,0.0,5.168
2022-09-28 19:00:00+00:00,0.0,27.392,0.0,4.912
2022-09-28 19:15:00+00:00,0.0,25.232,0.0,4.912
2022-09-28 19:30:00+00:00,0.0,25.552,0.0,4.88
2022-09-28 19:45:00+00:00,0.0,26.416,0.0,5.136
2022-09-28 20:00:00+00:00,0.0,24.96,0.0,4.96
2022-09-28 20:15:00+00:00,0.0,24.448,0.0,5.216
2022-09-28 20:30:00+00:00,0.0,28.464,0.0,5.904
2022-09-28 20:45:00+00:00,0.0,29.424,0.0,6.352
