timestamp,Generation(kWh)_1,Usage(kWh)_1,Generation(kVarh)_1,Usage(kVarh)_1
2022-09-28 14:00:00+00:00,0.0,255.6,6.0,0.4
2022-09-28 14:15:00+00:00,0.0,249.6,12.4,0.0
2022-09-28 14:30:00+00:00,0.0,254.0,12.4,0.4
2022-09-28 14:45:00+00:00,0.0,242.8,13.2,0.0
2022-09-28 15:00:00+00:00,0.0,240.4,14.8,0.0
2022-09-28 15:15:00+00:00,0.0,240.8,14.4,0.0
2022-09-28 15:30:00+00:00,0.0,245.6,12.0,0.0
2022-09-28 15:45:00+00:00,0.0,259.2,6.8,1.2
2022-09-28 16:00:00+00:00,0.0,252.4,9.6,0.0
2022-09-28 16:15:00+00:00,0.0,241.6,15.6,0.0
2022-09-28 16:30:00+00:00,0.0,244.4,12.0,0.0
2022-09-28 16:45:00+00:00,0.0,245.6,12.0,0.0
2022-09-28 17:00:00+00:00,0.0,242.0,14.4,0.0
2022-09-28 17:15:00+00:00,0.0,254.4,13.2,0.4
2022-09-28 17:30:00+00:00,0.0,250.8,8.8,0.0
2022-09-28 17:45:00+00:00,0.0,248.0,13.2,0.0
2022-09-28 18:00:00+00:00,0.0,242.0,16.4,0.0
2022-09-28 18:15:00+00:00,0.0,241.6,15.6,0.0
2022-09-28 18:30:00+00:00,0.0,247.2,13.2,0.4
2022-09-28 18:45:00+00:00,0.0,252.0,18.8,0.0
2022-09-28 19:00:00+00:00,0.0,246.8,16.4,0.0
2022-09-28 19:15:00+00:00,0.0,260.4,8.4,0.0
2022-09-28 19:30:00+00:00,0.0,250.8,14.0,0.4
2022-09-28 19:45:00+00:00,0.0,244.8,16.4,0.0
2022-09-28 20:00:00+00:00,0.0,253.6,14.8,0.0
2022-09-28 20:15:00+00:00,0.0,253.2,16.8,0.0
2022-09-28 20:30:00+00:00,0.0,283.6,2.4,2.0
2022-09-28 20:45:00+00:00,0.0,281.2,4.0,0.8
2022-09-28 21:00:00+00:00,0.0,315.2,0.4,8.8
2022-09-28 21:15:00+00:00,0.0,312.8,4.0,5.2
2022-09-28 21:30:00+00:00,0.0,325.6,0.4,11.2
2022-09-28 21:45:00+00:00,0.0,309.2,1.2,0.8
2022-09-28 22:00:00+00:00,0.0,309.6,2.0,2.0
2022-09-28 22:15:00+00:00,0.0,323.2,4.8,0.8
2022-09-28 22:30:00+00:00,0.0,325.2,4.4,2.8
2022-09-28 22:45:00+00:00,0.0,338.8,5.6,0.4
2022-09-28 23:00:00+00:00,0.0,355.2,0.8,2.4
2022-09-28 23:15:00+00:00,0.0,345.6,1.6,1.2
2022-09-28 23:30:00+00:00,0.0,317.6,2.0,2.8
2022-09-28 23:45:00+00:00,0.0,312.8,0.4,3.6
2022-09-29 00:00:00+00:00,0.0,341.2,0.0,7.6
2022-09-29 00:15:00+00:00,0.0,353.6,0.0,10.0
2022-09-29 00:30:00+00:00,0.0,342.8,3.6,2.0
2022-09-29 00:45:00+00:00,0.0,335.6,0.4,4.4
